Date,Open,High,Low,Close,Volume,Adj Close
2017-04-07,65.849998,65.959999,65.440002,65.68,13772400,65.68
2017-04-06,65.599998,66.059998,65.480003,65.730003,18070500,65.730003
2017-04-05,66.300003,66.349998,65.440002,65.559998,21381100,65.559998
2017-04-04,65.389999,65.809998,65.279999,65.730003,12981200,65.730003
2017-04-03,65.809998,65.940002,65.190002,65.550003,20352800,65.550003
2017-03-31,65.650002,66.190002,65.449997,65.860001,21001100,65.860001
2017-03-30,65.419998,65.980003,65.360001,65.709999,15100400,65.709999
2017-03-29,65.120003,65.50,64.949997,65.470001,13512400,65.470001
2017-03-28,64.959999,65.470001,64.650002,65.290001,20039300,65.290001
2017-03-27,64.629997,65.220001,64.349998,65.099998,18550200,65.099998
2017-03-24,65.360001,65.449997,64.760002,64.980003,22373200,64.980003
2017-03-23,64.940002,65.239998,64.769997,64.870003,18819600,64.870003
2017-03-22,64.120003,65.139999,64.120003,65.029999,20632800,65.029999
2017-03-21,65.190002,65.50,64.129997,64.209999,26191800,64.209999
2017-03-20,64.910004,65.18,64.720001,64.93,12744200,64.93
2017-03-17,64.910004,65.239998,64.68,64.870003,48994700,64.870003
2017-03-16,64.75,64.760002,64.300003,64.639999,20532600,64.639999
2017-03-15,64.550003,64.919998,64.25,64.75,20501900,64.75
2017-03-14,64.529999,64.550003,64.150002,64.410004,14263700,64.410004
2017-03-13,65.010002,65.190002,64.57,64.709999,19551800,64.709999
2017-03-10,65.110001,65.260002,64.75,64.93,19528300,64.93
2017-03-09,65.190002,65.199997,64.480003,64.730003,19772700,64.730003
2017-03-08,64.260002,65.080002,64.25,64.989998,20961700,64.989998
2017-03-07,64.190002,64.779999,64.190002,64.400002,18300700,64.400002
2017-03-06,63.970001,64.559998,63.810001,64.269997,17487700,64.269997
2017-03-03,63.990002,64.279999,63.619999,64.25,18135900,64.25
2017-03-02,64.690002,64.75,63.880001,64.010002,24510900,64.010002
2017-03-01,64.129997,64.989998,64.019997,64.940002,26763800,64.940002
2017-02-28,64.080002,64.199997,63.759998,63.98,23043900,63.98
2017-02-27,64.540001,64.540001,64.050003,64.230003,15850400,64.230003
2017-02-24,64.529999,64.800003,64.139999,64.620003,21705200,64.620003
2017-02-23,64.419998,64.730003,64.190002,64.620003,20235200,64.620003
2017-02-22,64.330002,64.389999,64.050003,64.360001,19259700,64.360001
2017-02-21,64.610001,64.949997,64.449997,64.489998,19384900,64.489998
2017-02-17,64.470001,64.690002,64.300003,64.620003,21234600,64.620003
2017-02-16,64.739998,65.239998,64.440002,64.519997,20524700,64.519997
2017-02-15,64.50,64.57,64.160004,64.529999,16917000,64.529999
2017-02-14,64.410004,64.720001,64.019997,64.57,23065900,64.57
2017-02-13,64.239998,64.860001,64.129997,64.720001,22920100,64.33
2017-02-10,64.25,64.300003,63.98,64.00,18170700,63.614338
2017-02-09,63.52,64.440002,63.32,64.059998,22644400,63.673974
2017-02-08,63.57,63.810001,63.220001,63.34,18096400,62.958315
2017-02-07,63.740002,63.779999,63.23,63.43,20277200,63.047773
2017-02-06,63.50,63.650002,63.139999,63.639999,19796400,63.256507
2017-02-03,63.50,63.700001,63.07,63.68,30301800,63.296267
2017-02-02,63.25,63.41,62.75,63.169998,45827000,62.789338
2017-02-01,64.360001,64.620003,63.470001,63.580002,39671500,63.196871
